zipcode,population
ZCTA 03816,1368
ZCTA 03817,574
ZCTA 03818,3807
ZCTA 03819,4377
ZCTA 03820,30039
ZCTA 03823,1719
ZCTA 03824,14638
ZCTA 03825,8512
ZCTA 03826,2470
ZCTA 03827,3150
ZCTA 03830,1610
ZCTA 03832,395
ZCTA 03833,20955
ZCTA 03835,6786
ZCTA 03836,1489
ZCTA 03837,1519
ZCTA 03838,1031
ZCTA 03839,3735
ZCTA 03840,3566
ZCTA 03841,6334
ZCTA 03842,15345
ZCTA 03844,2238
ZCTA 03845,991
ZCTA 03846,799
ZCTA 03847,294
ZCTA 03848,6020
ZCTA 03849,1585
ZCTA 03850,372
ZCTA 03851,4040
ZCTA 03852,558
ZCTA 03853,602
ZCTA 03854,968
ZCTA 03855,2638
ZCTA 03856,1680
ZCTA 03857,9006
ZCTA 03858,4603
ZCTA 03860,4056
ZCTA 03861,4330
ZCTA 03862,4278
ZCTA 03864,1696
ZCTA 03865,7609
ZCTA 03867,20758
ZCTA 03868,5323
ZCTA 03869,2469
ZCTA 03870,5162
ZCTA 03871,136
ZCTA 03872,3809
ZCTA 03873,5711
ZCTA 03874,8776
ZCTA 03875,833
ZCTA 03878,11824
ZCTA 03882,1465
ZCTA 03883,178
ZCTA 03884,3964
ZCTA 03885,7261
ZCTA 03886,2112
ZCTA 03887,2154
ZCTA 03890,327
ZCTA 03894,6314
ZCTA 03901,7246
ZCTA 03902,2211
ZCTA 03903,6211
ZCTA 03904,7703
ZCTA 03905,1780
ZCTA 03906,4647
ZCTA 03907,894
ZCTA 03908,7233
ZCTA 03909,9738
ZCTA 03910,328
ZCTA 03911,250
ZCTA 04001,2429
ZCTA 04002,7351
ZCTA 04003,330
ZCTA 04005,23146
ZCTA 04006,96
ZCTA 04008,2723
ZCTA 04009,5151
ZCTA 04010,1597
ZCTA 04011,20278
ZCTA 04015,3808
ZCTA 04017,341
ZCTA 04019,71
ZCTA 04020,1403
ZCTA 04021,5820
ZCTA 04022,1148
ZCTA 04024,608
ZCTA 04027,6031
ZCTA 04029,1725
ZCTA 04030,2208
ZCTA 04032,7879
ZCTA 04037,3834
ZCTA 04038,16381
ZCTA 04039,7422
ZCTA 04040,3111
ZCTA 04041,1613
ZCTA 04042,4281
ZCTA 04043,10810
ZCTA 04046,7496
ZCTA 04047,1892
ZCTA 04048,2946
ZCTA 04049,3659
ZCTA 04050,230
ZCTA 04051,1153
ZCTA 04055,3793
ZCTA 04056,257
ZCTA 04057,56
